Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704404882,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1704404883,1,,Aggregated,0.000000,0.000000,13,14,14,14,15,15,16,18,18,18,18,73,0,13,13.643090219238106,12.846394000007422,18.232368000099086,114.0
1704404884,2,,Aggregated,0.000000,0.000000,16,16,17,17,17,17,18,18,18,18,18,193,0,16,15.410302445670446,12.846394000007422,18.341454000619706,114.0
1704404885,3,,Aggregated,67.000000,0.000000,17,17,18,19,20,21,22,22,24,24,24,353,0,17,16.823511419314013,12.846394000007422,23.81484800025646,114.0
1704404886,4,,Aggregated,92.000000,0.000000,18,20,21,22,23,24,25,27,35,35,35,533,0,18,18.60018156286464,12.846394000007422,34.59139100050379,114.0
1704404887,5,,Aggregated,113.666667,0.000000,20,23,24,25,27,28,30,31,35,35,35,724,0,20,20.546943312163332,12.846394000007422,34.59139100050379,114.0
1704404888,6,,Aggregated,130.000000,0.000000,22,25,27,28,31,33,36,37,41,41,41,915,0,22,22.685430115860548,12.846394000007422,41.131574000246474,114.0
1704404889,7,,Aggregated,142.000000,0.000000,24,28,31,33,37,39,43,46,52,52,52,1100,0,24,25.210031011842645,12.846394000007422,51.95470199942065,114.0
1704404890,8,,Aggregated,150.333333,0.000000,26,31,35,37,42,45,49,52,59,62,62,1289,0,26,27.74408379522867,12.846394000007422,62.2936750005465,114.0
1704404891,9,,Aggregated,155.285714,0.000000,28,36,39,41,46,51,54,56,62,62,62,1480,0,28,30.219260069631943,12.846394000007422,62.2936750005465,114.0
1704404892,10,,Aggregated,159.125000,0.000000,31,39,43,45,51,55,60,62,72,72,72,1671,0,31,32.69413585581311,12.846394000007422,72.03861399830203,114.0
1704404893,10,,Aggregated,162.555556,0.000000,34,42,46,48,54,59,63,66,72,77,77,1857,0,34,34.75263972808751,12.846394000007422,76.64443599969673,114.0
1704404894,10,,Aggregated,165.500000,0.000000,37,44,48,51,56,60,63,66,72,77,77,2051,0,37,36.41262384840107,12.846394000007422,76.64443599969673,114.0
1704404895,10,,Aggregated,177.800000,0.000000,39,46,50,52,57,61,65,67,72,77,77,2235,0,39,37.859787939178574,12.846394000007422,76.64443599969673,114.0
1704404896,10,,Aggregated,185.200000,0.000000,41,48,52,54,59,63,67,69,78,83,83,2412,0,41,39.2322957732395,12.846394000007422,82.54542800023046,114.0
1704404897,10,,Aggregated,187.600000,0.000000,42,49,53,55,60,64,68,71,82,85,85,2589,0,42,40.40135837699731,12.846394000007422,84.96478199958801,114.0
1704404898,10,,Aggregated,187.600000,0.000000,44,51,54,56,62,67,77,82,96,110,110,2730,0,44,41.97308275166779,12.846394000007422,106.67025599832414,114.0
1704404899,10,,Aggregated,186.300000,0.000000,45,52,56,58,65,72,81,89,110,110,110,2865,0,45,43.46262842934105,12.846394000007422,113.98375499993563,114.0
