Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1704480551,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1704480552,1,,Aggregated,0.000000,0.000000,39,41,42,42,44,48,62,62,62,62,62,24,0,39,40.99804745904597,37.41724199790042,62.05505300022196,115.0
1704480553,2,,Aggregated,0.000000,0.000000,39,40,41,42,45,53,58,62,62,62,62,74,0,38,40.1338123784454,34.8041329998523,62.05505300022196,115.0
1704480554,3,,Aggregated,20.000000,0.000000,44,46,47,48,50,53,55,58,62,62,62,137,0,44,43.340960343168234,34.8041329998523,62.05505300022196,115.0
1704480555,4,,Aggregated,32.000000,0.000000,47,51,62,63,65,66,67,67,76,76,76,199,0,47,49.5178627286293,34.8041329998523,76.32965100492584,115.0
1704480556,5,,Aggregated,42.000000,0.000000,51,64,66,76,80,82,83,85,100,100,100,262,0,50,56.528190961765226,34.8041329998523,101.75926700321725,115.0
1704480557,6,,Aggregated,47.000000,0.000000,63,77,81,83,95,99,100,100,110,110,110,324,0,63,63.839427361039895,34.8041329998523,114.47543300164398,115.0
1704480558,7,,Aggregated,50.200000,0.000000,66,82,94,98,110,110,120,120,120,120,120,386,0,66,71.5272738394334,34.8041329998523,120.14391100092325,115.0
1704480559,8,,Aggregated,52.166667,0.000000,79,95,110,110,130,130,140,160,180,180,180,446,0,79,79.66290388343819,34.8041329998523,177.89600000105565,115.0
1704480560,9,,Aggregated,53.571429,0.000000,82,110,110,130,140,150,150,160,180,180,180,508,0,82,87.30680377369377,34.8041329998523,177.89600000105565,115.0
1704480561,10,,Aggregated,54.375000,0.000000,94,110,130,140,160,160,170,170,180,180,180,569,0,94,95.07462523031563,34.8041329998523,177.89600000105565,115.0
1704480562,10,,Aggregated,55.222222,0.000000,99,130,140,150,160,170,170,170,180,180,180,629,0,99,101.89154979013621,34.8041329998523,177.89600000105565,115.0
1704480563,10,,Aggregated,55.800000,0.000000,110,140,160,160,170,170,170,180,180,180,180,690,0,110.0,107.66478850868145,34.8041329998523,181.14905499533052,115.0
1704480564,10,,Aggregated,59.800000,0.000000,110,150,160,160,170,170,170,170,180,180,180,751,0,110.0,112.13029886813273,34.8041329998523,181.14905499533052,115.0
1704480565,10,,Aggregated,61.400000,0.000000,130,160,160,160,170,170,170,170,180,180,180,813,0,130.0,115.95094850055801,34.8041329998523,181.14905499533052,115.0
1704480566,10,,Aggregated,61.400000,0.000000,130,160,160,160,170,170,170,170,180,180,180,875,0,130.0,119.11348516338538,34.8041329998523,181.14905499533052,115.0
1704480567,10,,Aggregated,61.300000,0.000000,140,160,160,160,170,170,170,170,180,180,180,938,0,140.0,121.86177394238423,34.8041329998523,181.14905499533052,115.0
1704480568,10,,Aggregated,61.200000,0.000000,150,160,160,160,170,170,170,170,180,180,180,1002,0,150.0,124.1008415249281,34.8041329998523,181.14905499533052,115.0
1704480569,10,,Aggregated,61.300000,0.000000,150,160,160,160,170,170,170,170,180,180,180,1065,0,150.0,126.12217386380797,34.8041329998523,181.14905499533052,115.0
1704480570,10,,Aggregated,61.400000,0.000000,150,160,160,160,170,170,170,170,180,180,180,1128,0,150.0,127.89265728279392,34.8041329998523,181.14905499533052,115.0
1704480571,10,,Aggregated,61.700000,0.000000,160,160,160,160,170,170,170,170,180,180,180,1191,0,160.0,129.63265950208753,34.8041329998523,181.14905499533052,115.0
1704480572,10,,Aggregated,61.800000,0.000000,160,160,160,160,170,170,180,220,350,350,350,1235,0,160.0,132.45213812793065,34.8041329998523,352.7184380000108,115.0
1704480573,10,,Aggregated,62.000000,0.000000,160,160,160,160,170,180,280,330,350,350,350,1275,0,160.0,136.7929560352943,34.8041329998523,352.7184380000108,115.0
1704480574,10,,Aggregated,61.100000,0.000000,160,160,160,160,170,180,280,330,350,350,350,1338,0,160.0,137.81291523093077,34.8041329998523,352.7184380000108,115.0
1704480575,10,,Aggregated,58.600000,0.000000,160,160,160,160,170,180,280,330,350,350,350,1399,0,160.0,138.86295629235897,34.8041329998523,352.7184380000108,115.0
1704480576,10,,Aggregated,58.500000,0.000000,160,160,160,160,170,180,270,330,350,350,350,1462,0,160.0,139.81310473734797,34.8041329998523,352.7184380000108,115.0
1704480577,10,,Aggregated,58.600000,0.000000,160,160,160,160,170,170,260,330,350,350,350,1525,0,160.0,140.57438697446457,34.8041329998523,352.7184380000108,115.0
1704480578,10,,Aggregated,58.600000,0.000000,160,160,160,160,170,170,250,330,350,350,350,1590,0,160.0,141.19301088745178,34.8041329998523,352.7184380000108,115.0
1704480579,10,,Aggregated,58.600000,0.000000,160,160,160,160,170,170,250,330,350,350,350,1652,0,160.0,141.97433803938705,34.8041329998523,352.7184380000108,115.0
1704480580,10,,Aggregated,58.700000,0.000000,160,160,160,160,170,170,240,320,350,350,350,1714,0,160.0,142.62090307414564,34.8041329998523,352.7184380000108,115.0
1704480581,10,,Aggregated,58.500000,0.000000,160,160,160,160,170,170,240,320,350,350,350,1776,0,160.0,143.28078246681625,34.8041329998523,352.7184380000108,115.0
1704480582,10,,Aggregated,58.500000,0.000000,160,160,160,160,170,170,230,320,350,350,350,1838,0,160.0,143.84464509852708,34.8041329998523,352.7184380000108,115.0
1704480583,10,,Aggregated,58.400000,0.000000,160,160,160,160,170,170,220,310,350,350,350,1901,0,160.0,144.38979271072037,34.8041329998523,352.7184380000108,115.0
